Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Botswana,BWA,5714.04793606743,5623.37956613594,5185.72984538137,6346.15620387349,7645.21461151315,7029.23145024034,7007.62578590176,7493.76399441735,6527.50816086673,6954.17430629368,7595.59584978559,
Central African Republic,CAF,397.01715436953,456.861826817016,449.961204097,446.443687795492,490.510390672227,483.186093239243,337.484979032029,377.1321263233,348.381427149795,382.07028106683,418.411287036182,
Canada,CAN,44544.5268004039,46596.3359912609,40773.4543637445,47447.4760241936,52082.2107601003,52496.6948704709,52418.3150618347,50633.2088224323,43525.3701865304,42348.9454605979,45032.1199081697,
Central Europe and the Baltics,CEB,11998.3028196523,14549.9073239168,12258.5724137618,12556.4916047115,13881.2528188507,13003.3361597912,13717.083928458,14144.4857507182,12456.4265235151,12748.9233852545,14122.3358495965,
Switzerland,CHE,63555.2374995504,72487.8459296849,69927.4687701171,74605.7210207051,88415.6280609527,83538.2300783858,85112.4643984141,86605.5633762421,82016.0213129432,79866.0318745681,80189.6968607849,
Channel Islands,CHI,73569.644964552,,,,,,,,,,,
Chile,CHL,10526.8774613085,10781.3660783703,10243.328236588,12860.1776447469,14705.6924209903,15431.9029324117,15941.3972192355,14794.315829612,13736.6356879313,13960.894209996,15346.4496997595,
China,CHN,2695.36591709669,3471.2480543115,3838.43397176904,4560.51258600929,5633.7957168394,6337.88332279255,7077.77076539558,7683.50261309118,8069.21302389511,8117.26746543179,8826.99409574835,
Cote d'Ivoire,CIV,1065.89637469891,1242.43104388465,1217.74920575106,1219.74909551521,1214.70394645331,1262.48021811586,1423.68228222575,1569.92827532574,1434.32661467505,1535.06812143674,1662.44246666917,
Cameroon,CMR,1215.80821289835,1396.82498760165,1338.88437707877,1309.12220801948,1429.64755266211,1380.50984820072,1493.74656747065,1571.18253466367,1353.92448961447,1374.5158991066,1446.7028948332,
"Congo, Dem. Rep.",COD,286.507537175541,327.767654269899,298.80695623007,334.23173941161,387.323579611156,424.859133741434,458.125365192964,487.198280555203,497.629755726028,444.410334598663,457.847386806339,
"Congo, Rep.",COG,2111.20948856339,2881.59411605216,2255.33311863864,2737.34233022991,3196.64752370824,2952.05234806594,2964.57298903058,2910.52022576864,1712.12114632566,1528.24472001004,1658.04362511719,
Colombia,COL,4674.21961032951,5433.72045003263,5148.42211290856,6250.65504429614,7227.73967983349,7884.98442882865,8030.58603049039,7913.38343248643,6044.52555566556,5756.86160202051,6301.58987782717,
Comoros,COM,720.759301258731,795.970501862599,778.545419864544,769.174288260466,829.758688479073,788.632652955229,834.341094890303,852.954307862846,727.646386827046,775.080084631843,797.286368474789,
Cabo Verde,CPV,3112.28560109199,3638.90594639645,3444.55659984684,3312.82598480901,3670.42945259692,3408.48276238421,3558.79631344024,3529.61840319326,2995.15055267969,3037.52564241437,3209.69111999666,
Costa Rica,CRI,6120.62339976331,6911.13615246666,6809.39622366841,8199.41462068027,9186.59638993395,9985.36958970111,10569.6663143866,10630.997900768,11393.0239509727,11732.7105484757,11630.6683963387,
Caribbean small states,CSS,8855.47349586473,9988.74494033488,8365.03388792848,9039.28863295754,9728.00130228625,9976.72722737489,10026.6740925679,10125.4068244027,9842.96867053897,9355.86825345279,9517.93264393172,
Cuba,CUB,5184.49422741447,5376.4476221145,5484.77630011197,5676.14140269906,6075.92430626005,6425.94111866075,6760.15343974549,7050.5019901192,7602.26121831897,,,
Curacao,CUW,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,
Cyprus,CYP,31386.6326506534,35390.7048833763,32105.8159000782,30818.4639574235,32233.8394246573,28984.9148053503,27942.3166728809,27400.802986104,23212.2247018375,23541.4882484476,25233.570984591,
Czech Republic,CZE,18373.6489976913,22698.8539572605,19741.5976279826,19808.0710912518,21717.4579392202,19729.8705111763,19916.0193873722,19744.5586092159,17715.6168523009,18483.7164797716,20368.1385576071,
Germany,DEU,41814.8190965222,45699.1983232962,41732.707253158,41785.556912554,46810.3279588057,44065.2489082767,46530.9114275776,48042.5634346518,41323.921502169,42232.5742082948,44469.9090607244,
Djibouti,DJI,1047.58689638521,1214.07711829591,1253.65743119943,1325.99072352076,1430.98689832546,1536.15068518041,1477.36304247321,1595.1463648488,1761.6101575859,1872.23462294105,1927.58970569415,
Dominica,DMA,5939.05358494506,6446.66383185391,6866.22489903457,6912.43571398947,6986.04668697253,6745.84975848093,6933.41518313894,7195.39329650902,7313.84942800705,7906.72174152587,7609.61434887711,
Denmark,DNK,58487.0450116405,64322.0666441526,58163.2935943068,58041.4112245601,61753.6600721804,58507.5002096272,61191.1926260428,62548.9850174371,53012.9965835008,53578.7565680928,56307.5082995258,
Dominican Republic,DOM,4647.31035906985,5011.03793729372,4952.67750344452,5453.92686069139,5765.49645330522,5973.22293666431,6094.73490421055,6348.83776943483,6534.90855499375,6793.53812543935,7052.25883896858,
Algeria,DZA,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535,4160.22006671831,3916.88157088626,4123.38993650709,
East Asia & Pacific (excluding high income),EAP,2459.42330905092,3091.0450426432,3328.86691576414,4008.9104583938,4865.85401421189,5389.26864084949,5905.25704957695,6303.61388604898,6510.50345148507,6579.33082740518,7127.72037022007,
Early-demographic dividend,EAR,2327.76121273783,2583.52517712663,2447.55272715744,2927.96120542952,3241.13543500786,3347.66799669593,3354.78583472079,3421.23843060056,3270.07547818294,3291.88279860473,3500.73520460308,
